Date,ViewCart,ShippingOptions,Payment,OrderConfirmation
2017/11/07,265,127,105,94
2017/11/19,315,154,114,93
2018/03/30,233,91,68,50
2018/03/24,226,77,67,56
2018/03/18,566,272,224,194
2018/05/22,451,184,148,128
2017/08/06,377,189,157,139
2017/08/19,196,75,64,60
2017/06/06,234,128,105,97
2017/06/12,254,141,115,105
2017/06/04,247,115,97,80
2017/06/10,120,47,44,41
2017/08/21,290,152,122,108
2018/05/08,283,121,98,88
2018/05/20,405,155,124,106
2018/03/25,330,144,116,96
2017/11/22,419,198,161,140
2018/01/18,450,204,160,141
2018/01/30,332,156,132,118
2018/01/24,246,116,99,86
2018/01/23,310,143,116,102
2018/01/28,233,110,89,80
2018/01/16,360,167,133,120
2017/11/20,376,153,117,98
2018/03/25,330,144,116,96
2018/05/19,207,81,61,52
2018/05/07,272,116,93,83
2017/08/21,290,152,122,108
2017/06/09,129,63,56,50
2017/06/03,117,65,52,46
2017/10/18,247,128,104,99
2017/10/24,286,124,94,83
2017/10/30,309,138,107,91
2017/12/25,361,160,121,110
2018/02/20,336,150,122,111
2018/02/08,443,179,143,122
2017/07/16,359,180,153,137
2017/07/02,386,182,146,128
2017/09/17,461,204,173,150
2018/04/26,280,109,82,69
2017/09/29,206,85,63,56
2017/09/22,183,84,66,61
2017/05/28,346,174,154,138
2017/05/27,129,59,50,45
2017/09/23,161,71,60,50
2017/09/17,461,204,173,150
2018/04/24,257,108,81,70
2017/07/01,190,109,94,89
2017/07/15,115,60,43,38
2018/02/07,392,163,135,115
2018/02/19,361,159,139,127
2017/12/25,361,160,121,110
2017/10/29,424,187,159,136
2017/10/22,278,98,78,65
2017/10/16,255,113,100,91
2017/10/24,286,124,94,83
2017/12/17,513,250,188,160
2017/12/29,282,117,89,78
2017/12/23,111,38,25,22
2018/02/21,338,164,129,107
2017/07/13,193,100,75,67
2017/07/27,178,88,73,63
2018/04/22,366,147,130,111
2018/04/29,391,166,125,102
2018/04/17,311,138,106,91
2017/09/26,315,156,116,100
2018/04/18,298,120,97,87
2017/09/25,315,139,110,97
2018/04/24,257,108,81,70
2017/07/28,122,50,42,40
2017/07/14,142,52,43,39
2017/06/30,176,101,74,67
2018/02/22,272,119,96,82
2017/12/24,144,54,36,33
2017/12/30,223,87,71,62
2017/12/18,328,166,130,109
2017/10/26,338,157,128,111
2017/10/22,278,98,78,65
2017/12/19,291,135,103,86
2017/12/08,342,145,105,89
2018/02/26,296,145,110,97
2017/07/04,243,123,106,90
2017/07/10,328,175,145,127
2017/09/21,277,126,100,81
2018/04/08,484,216,178,150
2018/04/20,223,90,71,61
2018/04/19,321,128,104,87
2018/04/07,262,99,66,59
2017/09/22,183,84,66,61
2017/07/09,355,179,149,128
2017/07/02,386,182,146,128
2018/02/25,357,159,135,122
2017/12/07,323,154,115,99
2017/12/19,291,135,103,86
2017/10/20,176,71,59,52
2017/10/19,293,131,109,83
2017/10/06,213,77,57,50
2017/12/21,181,75,57,50
2018/02/16,284,110,84,74
2018/02/23,251,98,85,74
2017/07/11,257,138,95,85
2017/07/05,225,109,88,83
2017/09/19,263,117,101,88
2017/09/08,193,72,56,46
2018/04/21,236,87,75,58
2018/04/22,366,147,130,111
2017/09/07,248,93,73,65
2017/09/19,263,117,101,88
2017/07/05,225,109,88,83
2017/07/12,195,96,80,69
2018/02/24,287,125,98,83
2018/02/18,404,188,159,139
2017/12/22,189,74,51,45
2017/10/07,219,90,74,66
2017/10/20,176,71,59,52
